country,averageIqByCountry_iqLynnBecker2019,averageIqByCountry_sourceLynnBecker2019,AverageIQ_ICI2017Grade,AverageIQ_ICI2017Score,OverallPisaScore2022,PISAScoresMathScore2022,PISAScoresScienceScore2022,PISAScoresReadingScore2022
Belize,62.55,E,,,0,,,
Bahamas,86.99,T,,,0,,,
Guadeloupe,,,,,0,,,
Iceland,98.26,T,B+,52,1342,459,447,436
Martinique,,,,,0,,,
Mayotte,,,,,0,,,
Vanuatu,93.92,E,,,0,,,
French Guiana,,,,,0,,,
French Polynesia,,,,,0,,,
New Caledonia,93.92,E,,,0,,,
Barbados,91.6,T,,,0,,,
Sao Tome and Principe,65.22,E,,,0,,,
Samoa,83.96,E,,,0,,,
Curacao,,,,,0,,,
Saint Lucia,73.68,E,,,0,,,
Guam,,,,,0,,,
Kiribati,83.96,E,,,0,,,
Grenada,79.34,E,,,0,,,
Micronesia,83.96,E,,,0,,,
Jersey,,,,,0,,,
Tonga,83.96,E,,,0,,,
Seychelles,78.76,T,,,0,,,
Aruba,,,,,0,,,
Saint Vincent and the Grenadines,63.42,T,,,0,,,
United States Virgin Islands,,,,,0,,,
Antigua and Barbuda,70.48,E,,,0,,,
Isle of Man,,,,,0,,,
Andorra,95.2,E,,,0,,,
Dominica,66.03,T,,,0,,,
Cayman Islands,82.24,E,,,0,,,
Bermuda,93.48,T,,,0,,,
Guernsey,,,,,0,,,
Greenland,98.89,T,,,0,,,
Faroe Islands,,,,,0,,,
Northern Mariana Islands,81.36,E,,,0,,,
Saint Kitts and Nevis,70.48,E,,,0,,,
Turks and Caicos Islands,84.29,E,,,0,,,
Sint Maarten,,,,,0,,,
American Samoa,,,,,0,,,
Marshall Islands,83.96,T,,,0,,,
Liechtenstein,101.07,E,,,0,,,
Monaco,,,,,0,,,
San Marino,,,,,0,,,
Gibraltar,,,,,0,,,
Saint Martin,,,,,0,,,
British Virgin Islands,76.69,E,,,0,,,
Palau,,,,,0,,,
Cook Islands,83.96,E,,,0,,,
Anguilla,,,,,0,,,
Nauru,,,,,0,,,
Tuvalu,,,,,0,,,
Wallis and Futuna,,,,,0,,,
Saint Barthelemy,,,,,0,,,
Saint Pierre and Miquelon,,,,,0,,,
Montserrat,,,,,0,,,
Falkland Islands,,,,,0,,,
Niue,,,,,0,,,
Tokelau,,,,,0,,,
Vatican City,,,,,0,,,
Total,,,,,,4.386.875,4.479.875,4.361.875
